nama_destinasi,kategori,deskripsi,tags,aktivitas,kabupaten_kota,kecamatan,harga_destinasi,rating,jumlah_ulasan,latitude,longitude,maps_url,image_url
Pantai Kuta,Alam - Pantai,Pantai populer di Bali selatan dengan ombak yang cocok untuk surfing,"pantai,surfing,sunset","berenang,berjemur",Badung,Kuta,Gratis,4.5,1000,-8.7185,115.1686,,
Pura Tirta Empul,Budaya - Pura,Pura suci dengan kolam pemandian untuk upacara pembersihan spiritual,"pura,spiritual,budaya","berdoa,berendam",Gianyar,Tampaksiring,50000,4.6,800,-8.4159,115.3152,,
Tegenungan Waterfall,Alam - Air Terjun,Air terjun indah yang mudah diakses dekat Ubud,"air terjun,alam,fotografi","berenang,fotografi",Gianyar,Sukawati,25000,4.3,650,-8.5755,115.2898,,
Garuda Wisnu Kencana,Rekreasi - Landmark,Taman budaya dengan patung GWK raksasa dan pertunjukan seni,"landmark,budaya,patung","jalan-jalan,fotografi",Badung,South Kuta,125000,4.4,900,-8.8104,115.1676,,
Tanah Lot,Budaya - Pura,Pura laut ikonik yang terletak di atas batu karang,"pura,sunset,fotografi","berdoa,fotografi",Tabanan,Kediri,75000,4.7,1200,-8.6211,115.0868,,
Monkey Forest Ubud,Alam - Hutan,Hutan lindung yang dihuni oleh ratusan monyet ekor panjang,"monyet,hutan,alam","jalan-jalan,fotografi",Gianyar,Ubud,80000,4.4,950,-8.5183,115.2588,,
Tirta Gangga,Budaya - Pura,Taman air kerajaan dengan kolam dan air mancur yang indah,"taman air,kerajaan,budaya","jalan-jalan,fotografi",Karangasem,Ababi,30000,4.5,450,-8.4122,115.5896,,
Pantai Sanur,Alam - Pantai,Pantai tenang di sisi timur Bali yang cocok untuk keluarga,"pantai,keluarga,sunrise","berenang,bersepeda",Denpasar,Sanur,Gratis,4.3,700,-8.6924,115.2636,,
Museum Bali,Budaya - Museum,Museum sejarah dan budaya Bali di pusat kota Denpasar,"museum,sejarah,budaya","belajar,fotografi",Denpasar,Denpasar Timur,50000,4.0,200,-8.6553,115.2216,,
Waterbom Bali,Rekreasi - Waterpark,Taman air terbesar di Bali dengan berbagai wahana seru,"waterpark,keluarga,rekreasi","berenang,bermain",Badung,Kuta,Rp 535.000,4.6,1100,-8.7266,115.1708,,
